nom_recette;Description_recette;id_photo
Soupe de potimarron;La soupe de potiron est une soupe généralement liée préparée à partir d'une purée de potiron.;100
Financiers chocolat Nestlé Dessert caramel;Le financier est un biscuit moelleux qui se compose de blancs d'oeufs, de beurre noisette, de poudre d'amandes et de sucre. ;101
Fondue de camembert;La fondue de camembert est probablement la plus facile (et certainement l'une des recettes les plus savoureuses) de fondue au fromage.;103
Oeufs à la coque;Un œuf à la coque ou œuf mollet au Canada est un œuf entier cuit dans sa coquille, de telle sorte que le blanc soit peu coagulé encore souple et le jaune coulant.;107
Poulet au four simple et savoureux;Le bon poulet du dimanche qu'on aime :-) Aujourd'hui, on vous montre comment on prépare notre poulet rôti au four. Une recette simple et surtout sans âge !;110
Hachis Parmentier;Le hachis Parmentier, ou hachis parmentier, est un plat à base de purée de pommes de terre et de viande de bœuf hachée.;111
Samoussa rapide au boeuf;Découvrez la recette de Samoussa au boeuf à faire en 15 minutes. Hacher finement les oignons et l'ail et les faire revenir dans un peu d'huile.;112
